premis_code,premis_description
903,MTA - RED LINE - 7TH AND METRO CENTER
904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
905,MTA - RED LINE - WILSHIRE/VERMONT
906,MTA - RED LINE - VERMONT/BEVERLY
907,MTA - RED LINE - VERMONT/SANTA MONICA
908,MTA - RED LINE - VERMONT/SUNSET
910,MTA - RED LINE - HOLLYWOOD/VINE
911,MTA - RED LINE - HOLLYWOOD/HIGHLAND
912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
913,MTA - RED LINE - NORTH HOLLYWOOD
916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
920,MTA - PURPLE LINE - WILSHIRE/VERMONT
921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
922,MTA - PURPLE LINE - WILSHIRE/WESTERN
932,MTA - BLUE LINE - PICO
933,MTA - BLUE LINE - GRAND/LATTC
934,MTA - BLUE LINE - SAN PEDRO
935,MTA - BLUE LINE - WASHINGTON
936,MTA - BLUE LINE - VERNON
937,MTA - BLUE LINE - 103RD/WATTS TOWERS
940,MTA - EXPO LINE - 7TH AND METRO CENTER
942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
943,MTA - EXPO LINE - JEFFERSON/USC
944,MTA - EXPO LINE - EXPO PARK/USC
945,MTA - EXPO LINE - EXPO/VERMONT
946,MTA - EXPO LINE - EXPO/WESTERN
947,MTA - EXPO LINE - EXPO/CRENSHAW
948,MTA - EXPO LINE - FARMDALE
949,MTA - EXPO LINE - EXPO/LA BREA
950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
951,MTA - EXPO LINE - PALMS
953,MTA - EXPO LINE - EXPO/SEPULVEDA
954,MTA - EXPO LINE - EXPO/BUNDY
956,MTA - GREEN LINE - AVALON
957,MTA - GREEN LINE - HARBOR FWY
966,MTA - GOLD LINE - UNION STATION
971,MTA - GOLD LINE - HIGHLAND PARK
